Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Myanmar Security Forces,1 February 2021,11 July 2023,SAC,297,"20,850","4,110",165,"33,268","2,074"
Unarmed civilians,1 February 2021,11 July 2023,Civilian,297,"12,450","4,771","2,378","4,223",530
Unknown - Civilian Self Defence Forces,12 February 2021,11 July 2023,PDF,283,"7,692",710,"1,612","5,061",702
PDF name TBA,21 March 2021,30 April 2022,PDF,244,"4,691",241,586,"10,247",612
Drone,29 December 2021,10 July 2023,Other,103,"1,191",47,32,"1,770",27
Tatmadaw + Pro-Tatmadaw militia,14 March 2021,29 June 2023,SAC,94,"1,203",178,40,"3,033",100
KNLA/KNU - Karen National Liberation Army - Karen National Union,26 February 2021,10 July 2023,EAO,37,"1,207",150,21,"2,833",84
Pro-Tatmadaw militia,15 March 2021,9 July 2023,SAC,151,972,95,311,"1,037",41
KIA/KIO - Kachin Independence Army/Kachin Independence Organization,11 February 2021,11 July 2023,EAO,42,923,200,7,"2,217",117
Karenni Nationalities Defence Force - KNDF,2 September 2021,8 July 2023,PDF,12,381,35,2,832,95
Myaing PDF,4 December 2021,8 July 2023,PDF,7,253,18,7,498,18
KA/KNPP - Karenni Army - Karenni National Progressive Party,20 May 2021,29 June 2023,EAO,9,235,19,4,872,67
Civilian Defence Security Organization Myaung - CDSOM,29 January 2022,2 July 2023,PDF,13,109,4,0,352,9
Monywa District PDF,28 May 2022,9 July 2023,PDF,13,119,3,0,318,13
Shwebo District PDF,11 May 2022,8 July 2023,PDF,13,140,2,11,666,38
Sagaing District PDF,7 May 2022,9 July 2023,PDF,14,98,4,5,381,24
Myingyan District PDF,10 May 2022,8 July 2023,PDF,18,103,3,3,391,10
Yesagyo PDF,29 January 2022,3 July 2023,PDF,5,108,1,0,274,4
Yinmarbin District PDF,25 June 2022,8 July 2023,PDF,11,67,3,0,136,5
Myanmar Royal Dragon Army - MRDA,3 March 2022,8 July 2023,PDF,14,86,3,1,319,10
MNDAA - Myanmar National Democratic Alliance Army,5 February 2021,29 June 2023,EAO,12,206,31,1,322,1
Black Eagle Defence  Force -MMU,30 April 2022,6 June 2023,PDF,4,64,2,0,239,0
Doe Be Brothers Force (DBBF),8 July 2022,9 July 2023,PDF,6,68,0,0,144,0
People's Knight Defence Force (MMU),8 July 2022,6 July 2023,PDF,5,68,0,0,132,0
Salingyi Special Task Force (SSTF),27 November 2021,21 June 2023,PDF,10,62,0,0,102,0
Taungtha TTA PDF,1 May 2022,21 March 2023,PDF,10,59,0,7,164,2
Unicorn Guerrilla Force,31 October 2022,9 July 2023,PDF,4,69,0,1,44,0
Chaung-U PDF,7 April 2022,5 July 2023,PDF,7,79,5,1,314,8
Myaung Special PDF,2 May 2022,21 June 2023,PDF,13,46,2,1,188,1
Peacock Warrior PDF,15 April 2022,23 June 2023,PDF,15,51,3,4,150,5
People's Army to Fight Dictatorship (PAFD),29 January 2022,1 July 2023,PDF,5,60,0,2,120,6
Phoenix PDF,4 May 2022,9 July 2023,PDF,12,60,0,5,144,0
Phoenix Guerilla,6 May 2022,16 June 2023,PDF,11,42,0,1,131,0
Chindwin Galone Yazar Guerrilla Force,8 February 2022,26 June 2023,PDF,4,33,1,1,132,1
Unknown - Established EAO,4 February 2021,1 March 2023,EAO,45,116,47,1,18,0
Bo Kyar Yine PDF,2 May 2022,1 July 2023,PDF,2,39,0,1,157,4
Cobra Column,17 May 2022,10 July 2023,PDF,3,89,0,0,263,13
Alpha Special Force PDF,11 February 2022,26 June 2023,PDF,4,34,2,1,152,2
Middle Revolutionary Technical Front - MRTF,29 May 2022,29 June 2023,PDF,8,46,5,1,137,3
Snake Eyes PDF,21 February 2022,30 May 2023,PDF,3,36,0,5,136,4
Chindwin Attack Force,13 February 2022,6 July 2023,PDF,8,62,2,0,244,7
Myinmu PDF,2 February 2022,9 July 2023,PDF,5,51,0,0,72,29
Crocodile and Tigers Shwebo,21 February 2022,24 April 2023,PDF,2,34,0,4,139,4
Pakokku PDF,5 May 2022,24 June 2023,PDF,5,55,5,10,221,7
CNA/CNF - Chin National Army/Chin National Front,25 November 2021,8 July 2023,EAO,8,101,0,0,402,28
AA - Arakan Army,8 May 2021,1 July 2023,EAO,18,144,26,0,405,0
