SR,Township,Village,Village_MM,Location,Locals_Used_ENG,Locals_Used_MM
0,Magway,Minhla,Kan (South),ကံ (တောင်),"19.6848297119141,94.8762130737305",0,0
1,Magway,Minhla,Kan (North),ကံ (မြောက်),"19.6946907043457,94.8725814819336",0,0
2,Magway,Minhla,Kan (Middle),ကံ (အလယ်),"19.6914024353027,94.8737411499023",0,0
3,Magway,Minhla,Kan Kyaw,ကံကျော,"19.5955696105957,94.7886505126953",0,0
4,Magway,Minhla,Kan Toke,ကံတုပ်,"19.8235492706299,94.6600570678711",0,0
5,Magway,Minhla,Kin Pun Chon,ကင်ပွန်းခြုံ,"19.6098194122314,95.0181732177734",0,0
6,Magway,Minhla,Ka Nyin Gyi,ကညင်းကြီး,"19.7818202972412,94.9723663330078",0,0
7,Magway,Minhla,Ka Da,ကဒ,"19.9010391235352,95.0460815429688",0,0
8,Magway,Minhla,Ka Daung Kyin,ကဒေါင်းကျင်း,"19.8048572540283,94.5737380981445",0,0
9,Magway,Minhla,Ka Daung Sauk,ကဒေါင်းစောက်,"19.6751022338867,94.9083023071289",0,0
10,Magway,Minhla,Ka De,ကဒဲ,"19.576530456543,94.7337265014648",0,0
11,Magway,Minhla,Kan Ni,ကန်နီ,"19.854040145874,94.6040802001953",0,0
12,Magway,Minhla,Kyit Hpyar,ကျစ်ဖျား,"19.855829,94.638527",0,0
13,Magway,Minhla,Kyauk Sar Pwe,ကျောက်စားပွဲ,"19.764476776123,94.557502746582",0,0
14,Magway,Minhla,Kyauk Ta Gar,ကျောက်တံခါး,",",0,0
15,Magway,Minhla,Kyauk Htat,ကျောက်ထပ်,"19.6861705780029,94.6698684692383",0,0
16,Magway,Minhla,Kyauk Htaung,ကျောက်ထောင်,"19.8430004119873,94.6762924194336",0,0
17,Magway,Minhla,Kyauk Htaung Ywar Thit,ကျောက်ထောင်ရွာသစ်,"19.836971,94.675079",0,0
18,Magway,Minhla,Kyauk Pa Daung,ကျောက်ပန်းတောင်း,"19.6510906219482,94.935920715332",0,0
19,Magway,Minhla,Kyauk Pon,ကျောက်ပုံ,"19.8293209075928,94.7251510620117",0,0
20,Magway,Minhla,Kyauk Myaung,ကျောက်မြောင်း,"19.8376407623291,94.9711990356445",0,0
21,Magway,Minhla,Kyauk Let Khat,ကျောက်လက္ခတ်,"19.6505508422852,95.0288619995117",0,0
22,Magway,Minhla,Kyauk Oe,ကျောက်အိုး,"19.654239654541,94.8833618164063",0,0
23,Magway,Minhla,Kyet Su Kone,ကြက်ဆူကုန်း,"19.5888729095459,94.728157043457",0,0
24,Magway,Minhla,Kun Thun,ကွန်းသွန်း,"19.7516403198242,94.9168167114258",0,0
25,Magway,Minhla,Kaing,ကိုင်း,"19.8927993774414,95.0904235839844",0,0
26,Magway,Minhla,Ku Tin Su,ကုတင်စု,"19.7882499694824,94.776496887207",0,0
27,Magway,Minhla,Kone Gyi,ကုန်းကြီး,"19.9313507080078,94.9732894897461",0,0
28,Magway,Minhla,Kauk Ka Lein,ကောက်ကလိန်,"19.7325801849365,94.5343399047852",0,0
29,Magway,Minhla,Chin Kone,ချင်းကုန်း,"19.7028102874756,94.6603469848633",0,0
30,Magway,Minhla,Chaung Gwa,ချောင်းဂွ,"19.8858699798584,95.0853729248047",0,0
31,Magway,Minhla,Kha Laing,ခလိုင်း,"19.7276401519775,94.8319091796875",0,0
32,Magway,Minhla,Khar Zet,ခါးဇက်,"19.7061195373535,94.5978088378906",0,0
33,Magway,Minhla,Gyin Ye Myaung,ဂျင်းရဲမြောင်,"19.9252490997314,94.9654083251953",0,0
34,Magway,Minhla,Gyoe San (North),ဂျိုးစမ်း (မြောက်),"19.8155860900879,94.5394134521484",0,0
35,Magway,Minhla,Gway Kyaw,ဂွေးကျော,"19.7272701263428,94.8129501342773",0,0
36,Magway,Minhla,Nga Hlaing,ငလှိုင်,"19.7104606628418,94.7343215942383",0,0
