SR,Township,Town,Ward,Ward_MMR,,,
Chin,Falam,Falam Town,Balai Ward,ဗလိုင်ရပ်ကွက်,,,
Chin,Falam,Falam Town,Cinmual Ward,ကျင်မွာလ်ရပ်ကွက်,,,
Chin,Falam,Falam Town,Lailun Ward,လိုင်လွန်ရပ်ကွက်,,,
Chin,Falam,Falam Town,Laizo Ward,လိုင်ဇိုးရပ်ကွက်,,,
Chin,Falam,Falam Town,Lungpi Ward,လုံပီးရပ်ကွက်,,,
Chin,Falam,Falam Town,Phathauk Ward,ဖာရ်ထောက်ရပ်ကွက်,,,
Chin,Falam,Falam Town,Tlanlau Ward,တလန်လိုရပ်ကွက်,,,
Chin,Falam,Falam Town,Zalai Ward,ဇာလိုင်ရပ်ကွက်,,,
Chin,Falam,Rihkhawdar Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Falam,Rihkhawdar Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Falam,Webula Town,Kyan Bar Yi Ward,ကျန်ဘာရီရပ်ကွက်,,,
Chin,Falam,Webula Town,Lone That Ward,လုံးသပ်ရပ်ကွက်,,,
Chin,Falam,Webula Town,Mualzawl Ward,မွာလ်ဇောလ်ရပ်ကွက်,,,
Chin,Falam,Webula Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Hakha Htar (1) Ward,ဟားခါးထာရ် (၁) ရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Hakha Htar (2) Ward,ဟားခါးထာရ် (၂) ရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Kyaw Boke Ward,ကျောဘုတ်ရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Myo Haung Ward,မြို့ဟောင်းရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Zay Haung Ward,ဈေးဟောင်းရပ်ကွက်,,,
Chin,Hakha,Hakha Town,Zay Thit Ward,ဈေးသစ်ရပ်ကွက်,,,
Chin,Hakha,Surkhua Town,Hseng Lo Tar Ward,ဆိုင်လိုသာရ်ရပ်ကွက်,,,
Chin,Hakha,Surkhua Town,Sa Lung Pu Ward,ဆလုံပူးရပ်ကွက်,,,
Chin,Kanpetlet,Kanpetlet Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Kanpetlet,Kanpetlet Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Kanpetlet,Kyin Dway Town,Hoke Pon Kyin Ward,ဟုတ်ပုံကျင်းရပ်ကွက်,,,
Chin,Kanpetlet,Kyin Dway Town,Hpone Twi Kyin Ward,ဖုံးတွီကျင်းရပ်ကွက်,,,
Chin,Kanpetlet,Kyin Dway Town,Htan Kone Ward,ထန်းကုန်းရပ်ကွက်,,,
Chin,Kanpetlet,Kyin Dway Town,Kyin Dway Ward,ကျင်ဒွေးရပ်ကွက်,,,
Chin,Matupi,Lalengpi Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Matupi,Lalengpi Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Matupi,Matupi Town,Cangbong Ward,စိန်ဘောင်ရပ်ကွက်,,,
Chin,Matupi,Matupi Town,Khoboi Ward,ခွာဘွေးရပ်ကွက်,,,
Chin,Matupi,Matupi Town,Lungvan Ward,လောင်ဗန်းရပ်ကွက်,,,
Chin,Matupi,Matupi Town,Ngalar Ward,ငလားရပ်ကွက်,,,
Chin,Matupi,Rezua Town,In Yaw Ward,အင်ရောရပ်ကွက်,,,
Chin,Matupi,Rezua Town,Laung Ye Ward,လောင်းရဲရပ်ကွက်,,,
Chin,Matupi,Rezua Town,Mual Pi Ward,မွာပီးရပ်ကွက်,,,
Chin,Matupi,Rezua Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Chin,Mindat,Mindat Town,Ah Nauk Ward,အနောက်ရပ်ကွက်,,,
Chin,Mindat,Mindat Town,Ah Shey Pyin Ward,အရှေ့ ပြင်ရပ်ကွက်,,,
Chin,Mindat,Mindat Town,Ba Wa Thit Ward,ဘဝသစ်ရပ်ကွက်,,,
Chin,Mindat,Mindat Town,San Pya Ward,စံပြရပ်ကွက်,,,
Chin,Mindat,M'kuiimnu Town,Htein Pyone Ward,ထိန်ပြုံးရပ်ကွက်,,,
Chin,Mindat,M'kuiimnu Town,Kyon Laung Ward,ကြုံလောင်းရပ်ကွက်,,,
Chin,Mindat,M'kuiimnu Town,M'kuiimnu Ward,မကွီအိမ်နူးရပ်ကွက်,,,
Chin,Mindat,M'kuiimnu Town,Vi Nu Ward,ဗွီနူးရပ်ကွက်,,,
Chin,Paletwa,Paletwa Town,Kin Wa Ward,ကင်ဝရပ်ကွက်,,,
Chin,Paletwa,Paletwa Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Chin,Paletwa,Paletwa Town,Yeik Khar Ward,ရိက္ခာရပ်ကွက်,,,
Chin,Paletwa,Paletwa Town,Ywar Ma Ward,ရွာမရပ်ကွက်,,,
Chin,Paletwa,Samee Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
