SR_Pcode,SR,District,Township,Village_Tract,Village,Village_MM,Latitude,Longitude,Source
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Da None Chaung,ဓနုံးချောင်း,16.1894302368164,95.3609313964844,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Hteik Chaung,ထိပ်ချောင်း,16.1391506195068,95.3172836303711,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Kun Thee Chaung,ကွမ်းသီးချောင်း,16.1460609436035,95.3352737426758,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Kyar Chaung,ကျားချောင်း,16.1887493133545,95.3315734863281,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Kyet Taung Chaung Sar Hpyu Su,ကြက်တောင်ချောင်းစာဖြူစု,16.1945705413818,95.3625335693359,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Kyun Hteik,ကျွန်းထိပ်,16.2000293731689,95.3528366088867,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,La Tar Chaung,လတာချောင်း,16.1532402038574,95.3073806762695,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,La Tar Chaung Hpyar,လတာချောင်းဖျား,16.16144,95.31829,Field Sources
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Nat Mauk,နတ်မောက်,16.1531105041504,95.3434371948242,GAD
MMR017,Ayeyarwady,Pyapon,Bogale,(Kyun Nyo Gyi) Kyun Hteik,Nga Khu Chaung,ငခူချောင်း,16.1712398529053,95.3143768310547,GAD
